Feature,Normalized.Dispersion
ENSG00000116685,-1.3395828739678577
ENSG00000083444,-1.6843835680200447
ENSG00000287384,-0.6839160839160839
ENSG00000116688,13.397243527850673
ENSG00000116691,-1.5755123585800381
ENSG00000120949,-1.0393269181008788
ENSG00000285604,nan
ENSG00000028137,1.7499084617546767
ENSG00000048707,0.06975957258203548
ENSG00000229484,nan
ENSG00000162496,3.920776619390283
ENSG00000272482,1.064335664335662
ENSG00000204518,nan
ENSG00000188984,nan
ENSG00000157330,-1.0998014331347672
ENSG00000116726,nan
ENSG00000116721,nan
ENSG00000228338,nan
ENSG00000239810,nan
ENSG00000179172,-1.5743243243243241
ENSG00000120952,nan
ENSG00000243073,nan
ENSG00000187545,nan
ENSG00000204510,nan
ENSG00000232423,nan
ENSG00000274764,nan
ENSG00000277058,nan
ENSG00000229571,nan
ENSG00000275774,nan
ENSG00000233336,nan
ENSG00000280267,nan
ENSG00000179412,nan
ENSG00000204505,nan
ENSG00000279169,nan
ENSG00000279804,nan
ENSG00000270601,nan
ENSG00000182330,nan
ENSG00000237700,nan
ENSG00000204501,nan
ENSG00000228229,nan
ENSG00000204481,nan
ENSG00000204480,nan
ENSG00000204479,nan
ENSG00000204478,0.9972027972027973
ENSG00000162494,0.2342149592800433
ENSG00000259961,nan
ENSG00000162493,-0.7602953842029105
ENSG00000237445,1.4305019305019309
ENSG00000116731,-0.6251387646549886
ENSG00000189337,0.2696896139348617
ENSG00000231606,-0.7672482850750143
ENSG00000234593,-0.45207907311010803
ENSG00000287756,-0.313334156381934
ENSG00000175147,-2.25273296005936
ENSG00000171729,-0.48003690142305444
ENSG00000204464,-2.035988892130931
ENSG00000142621,1.6985494068016231
ENSG00000233485,3.619904960240381
ENSG00000236045,nan
ENSG00000228140,-0.08680311311660534
ENSG00000142634,-0.10597508006040887
ENSG00000162438,-0.17289822790247136
ENSG00000142615,1.3014258315903648
ENSG00000215704,1.4159485024118763
ENSG00000132906,-1.5483842148713474
ENSG00000116138,1.022654827961606
ENSG00000272510,1.2030471625745982
ENSG00000116771,0.774987551808433
ENSG00000237301,-0.31448439684765656
ENSG00000197312,4.286051853755948
ENSG00000215695,nan
ENSG00000271742,-2.8371543980738743
ENSG00000116786,-0.8348475832202719
ENSG00000237938,-0.13276172201095393
ENSG00000162461,2.677247417002685
ENSG00000224459,nan
ENSG00000162460,nan
ENSG00000162458,-1.1369280835998756
ENSG00000233954,-0.31338104679612877
ENSG00000179743,-0.8434877286954926
ENSG00000065526,-1.35194996607225
ENSG00000116809,-1.0295303546205319
ENSG00000183888,nan
ENSG00000233078,nan
ENSG00000173641,nan
ENSG00000186510,nan
ENSG00000184908,-1.8841698841698833
ENSG00000185519,nan
ENSG00000142627,-1.4539977586546364
ENSG00000227959,6.46401880681256
